ja,zh
"Vocal3倍アピール/メンタルダメージ20％CUT[2ターン]","Vocal3배 어필/멘탈데미지20%CUT[2턴]"
"Vocal3倍アピール/メンタル7％回復","Vocal3배 어필/멘탈7%회복"
"Vocal3倍アピール/注目度30％DOWN[3ターン]","Vocal3배 어필/주목도30%DOWN[3턴]"
"Vocal3倍アピール/Vocal&Visual15％UP[3ターン]","Vocal3배 어필/Vocal&Visual15%UP[3턴]"
"Vocal3倍アピール/Vocal20％UP[3ターン]","Vocal3배 어필/Vocal20%UP[3턴]"
"Vocal3.5倍アピール","Vocal3.5배 어필"
"[条件:めぐる][確率:10％][最大:1回]","[조건:메구루][확률:10%][최대:1회]"
"[条件:めぐる][確率:40％][最大:2回]","[조건:메구루][확률:40%][최대:2회]"
"[条件:スター10以上][確率:20％][最大:1回]","[조건:스타10이상][확률:20%][최대:1회]"
"[条件:スター10以上][確率:30％][最大:1回]","[조건:스타10이상][확률:30%][최대:1회]"
"[条件:スター24以上][確率:30％][最大:1回]","[조건:스타24이상][확률:30%][최대:1회]"
"[条件:スター3以下][確率:33％][最大:3回]","[조건:스타3이하][확률:33%][최대:3회]"
"[条件:スター9以下][確率:30％][最大:1回]","[조건:스타9이하][확률:30%][최대:1회]"
"[条件:メンタル24％以下][確率:30％][最大:1回]","[조건:멘탈24%이하][확률:30%][최대:1회]"
"[条件:メンタル49％以下][確率:30％][最大:1回]","[조건:멘탈49%이하][확률:30%][최대:1회]"
"[条件:メンタル50％以上][確率:30％][最大:1回]","[조건:멘탈50%이상][확률:30%][최대:1회]"
"[条件:メンタル50％以下][確率:30％][最大:1回]","[조건:멘탈50%이하][확률:30%][최대:1회]"
"[条件:メンタル74％以下][確率:20％][最大:1回]","[조건:멘탈74%이하][확률:20%][최대:1회]"
"[条件:メンタル74％以下][確率:30％][最大:1回]","[조건:멘탈74%이하][확률:30%][최대:1회]"
"[条件:メンタル75％以上][確率:20％][最大:1回]","[조건:멘탈75%이상][확률:20%][최대:1회]"
"[条件:メンタル80％以上][確率:20％][最大:5回]","[조건:멘탈80%이상][확률:20%][최대:5회]"
"[条件:メンタル90％以上][確率:30％][最大:2回]","[조건:멘탈90%이상][확률:30%][최대:2회]"
"[条件:凛世][確率:10％][最大:1回]","[조건:린제][확률:10%][최대:1회]"
"[条件:凛世][確率:40％][最大:2回]","[조건:린제][확률:40%][최대:2회]"
"[条件:千雪][確率:10％][最大:1回]","[조건:치유키][확률:10%][최대:1회]"
"[条件:千雪][確率:40％][最大:2回]","[조건:치유키][확률:40%][최대:2회]"
"[条件:咲耶][確率:10％][最大:1回]","[조건:사쿠야][확률:10%][최대:1회]"
"[条件:咲耶][確率:40％][最大:2回]","[조건:사쿠야][확률:40%][최대:2회]"
"[条件:夏葉][確率:10％][最大:1回]","[조건:나츠하][확률:10%][최대:1회]"
"[条件:夏葉][確率:40％][最大:2回]","[조건:나츠하][확률:40%][최대:2회]"
"[条件:恋鐘][確率:10％][最大:1回]","[조건:코가네][확률:10%][최대:1회]"
"[条件:恋鐘][確率:30％][最大:1回]","[조건:코가네][확률:30%][최대:1회]"
"[条件:恋鐘][確率:40％][最大:2回]","[조건:코가네][확률:40%][최대:2회]"
"[条件:愛依][確率:10％][最大:1回]","[조건:메이][확률:10%][최대:1회]"
"[条件:愛依][確率:40％][最大:2回]","[조건:메이][확률:40%][최대:2회]"
"[条件:摩美々][確率:10％][最大:1回]","[조건:마미미][확률:10%][최대:1회]"
"[条件:摩美々][確率:40％][最大:2回]","[조건:마미미][확률:40%][최대:2회]"
"[条件:智代子][確率:10％][最大:1回]","[조건:치요코][확률:10%][최대:1회]"
"[条件:智代子][確率:40％][最大:2回]","[조건:치요코][확률:40%][최대:2회]"
"[条件:果穂][確率:10％][最大:1回]","[조건:카호][확률:10%][최대:1회]"
"[条件:果穂][確率:40％][最大:2回]","[조건:카호][확률:40%][최대:2회]"
"[条件:樹里][確率:10％][最大:1回]","[조건:쥬리][확률:10%][최대:1회]"
"[条件:樹里][確率:40％][最大:2回]","[조건:쥬리][확률:40%][최대:2회]"
"[条件:灯織][確率:10％][最大:1回]","[조건:히오리][확률:10%][최대:1회]"
"[条件:灯織][確率:40％][最大:2回]","[조건:히오리][확률:40%][최대:2회]"
"[条件:灯織][確率:30％][最大:1回]","[조건:히오리][확률:30%][최대:1회]"
"[条件:甘奈][確率:10％][最大:1回]","[조건:아마나][확률:10%][최대:1회]"
"[条件:甘奈][確率:40％][最大:2回]","[조건:아마나][확률:40%][최대:2회]"
"[条件:甜花][確率:10％][最大:1回]","[조건:텐카][확률:10%][최대:1회]"
"[条件:甜花][確率:40％][最大:2回]","[조건:텐카][확률:40%][최대:2회]"
"[条件:真乃][確率:10％][最大:1回]","[조건:마노][확률:10%][최대:1회]"
"[条件:真乃][確率:40％][最大:2回]","[조건:마노][확률:40%][최대:2회]"
"[条件:結華][確率:10％][最大:1回]","[조건:유이카][확률:10%][최대:1회]"
"[条件:結華][確率:40％][最大:2回]","[조건:유이카][확률:40%][최대:2회]"
"[条件:観客1][確率:30％][最大:3回]","[조건:관객1][확률:30%][최대:3회]"
"[条件:観客2以下][確率:50％][最大:1回]","[조건:관객2이하][확률:50%][최대:1회]"
"[条件:観客3以上][確率:20％][最大:1回]","[조건:관객3이상][확률:20%][최대:1회]"
"[条件:霧子][確率:10％][最大:1回]","[조건:키리코][확률:10%][최대:1회]"
"[条件:霧子][確率:40％][最大:2回]","[조건:키리코][확률:40%][최대:2회]"
"[条件:1位][確率:30％][最大:1回]","[조건:1위][확률:30%][최대:1회]"
"[条件:2ターン以前][確率:30％][最大:1回]","[조건:2턴이전][확률:30%][최대:1회]"
"[条件:2位][確率:30％][最大:1回]","[조건:2위][확률:30%][최대:1회]"
"[条件:3ターン以前][確率:30％][最大:1回]","[조건:3턴이전][확률:30%][최대:1회]"
"[条件:3ターン以降][確率:10％][最大:3回]","[조건:3턴이후][확률:10%][최대:3회]"
"[条件:3位][確率:20％][最大:1回]","[조건:3위][확률:20%][최대:1회]"
"[条件:3位][確率:30％][最大:1回]","[조건:3위][확률:30%][최대:1회]"
"[条件:4ターン以前][確率:20％][最大:1回]","[조건:4턴이전][확률:20%][최대:1회]"
"[条件:4ターン以前][確率:30％][最大:1回]","[조건:4턴이전][확률:30%][최대:1회]"
"[条件:5ターン以降][確率:20％][最大:1回]","[조건:5턴이후][확률:20%][최대:1회]"
"[条件:5ターン以降][確率:30％][最大:1回]","[조건:5턴이후][확률:30%][최대:1회]"
"[条件:5位][確率:30％][最大:1回]","[조건:5위][확률:30%][최대:1회]"
"[条件:5位][確率:30％][最大:3回]","[조건:5위][확률:30%][최대:3회]"
"[条件:6ターン以前][確率:10％][最大:3回]","[조건:6턴이전][확률:10%][최대:3회]"
"[条件:8ターン以降][確率:30％][最大:2回]","[조건:8턴이후][확률:30%][최대:2회]"
"[条件:8ターン以降][確率:30％][最大:3回]","[조건:8턴이후][확률:30%][최대:3회]"
"[条件:Dance担当][確率:10％][最大:1回]","[조건:Dance담당][확률:10%][최대:1회]"
"[条件:Dance担当][確率:30％][最大:1回]","[조건:Dance담당][확률:30%][최대:1회]"
"[条件:DanceUPが付与されている場合][確率:30％][最大:1回]","[조건:DanceUP이 부여되고있는경우][확률:30%][최대:1회]"
"[条件:Visual担当][確率:30％][最大:1回]","[조건:Visual담당][확률:30%][최대:1회]"
"[条件:Vocal担当][確率:15％][最大:1回]","[조건:Vocal담당][확률:15%][최대:1회]"
"[条件:Vocal担当][確率:30％][最大:1回]","[조건:Vocal담당][확률:30%][최대:1회]"
"[条件:VocalUPが付与されている場合][確率:30％][最大:1回]","[조건:VocalUP이 부여되고있는경우][확률:30%][최대:1회]"
"メンタル20％回復","﻿멘탈20%회복"
"全観客にDance1倍アピール/興味30%DOWN[2ターン]","﻿전관객에게 Dance1배 어필/흥미30%DOWN[2턴]"
"影響力30％DOWN[3ターン]","﻿영향력30%DOWN[3턴]"
"必ず最初にアピールを行いDance2倍アピール/影響力20％DOWN[2ターン]","﻿반드시 최초로 어필을 해 Dance2배 어필/영향력20%DOWN[2턴]"
"必ず最初にアピールを行いVisual3.5倍アピール/興味15％UP[5ターン]","﻿반드시 최초로 어필을 해 Visual3.5배 어필/흥미15%UP[5턴]"
"思い出ゲージ10％UP/Dance30％UP[2ターン]","﻿추억게이지10%UP/Dance30%UP[2턴]"
"興味50％DOWN[1ターン]","﻿흥미50%DOWN[1턴]"
"Dance1.5倍アピール/Dance40％UP[3ターン]","﻿Dance1.5배 어필/Dance40%UP[3턴]"
"Dance2倍アピール/影響力10％DOWN[3ターン]","﻿Dance2배 어필/영향력10%DOWN[3턴]"
"Dance2倍アピール/興味10％UP[3ターン]","﻿Dance2배 어필/흥미10%UP[3턴]"
"Dance2倍アピール/Visual25％UP[3ターン]","﻿Dance2배 어필/Visual25%UP[3턴]"
"Dance2倍アピール/Vocal＆Visual15％UP[3ターン]","﻿Dance2배 어필/Vocal＆Visual15%UP[3턴]"
"Dance2.5倍アピール/メンタル5％回復","﻿Dance2.5배 어필/멘탈5%회복"
"Dance2.5倍アピール/Dance20％UP[3ターン]","﻿Dance2.5배 어필/Dance20%UP[3턴]"
"Dance2.5倍アピール/Vocal＆Visual10％UP[3ターン]","﻿Dance2.5배 어필/Vocal＆Visual10%UP[3턴]"
"Dance3倍アピール/メンタルダメージ50％UP[3ターン]","﻿Dance3배 어필/멘탈데미지50%UP[3턴]"
"Dance3.5倍アピール/Vocal＆Visual50％DOWN[3ターン]","﻿Dance3.5배 어필/Vocal＆Visual50%DOWN[3턴]"
"Visual上限+25","﻿Visual상한+25"
"Visual2倍アピール","﻿Visual2배 어필"
"Visual2倍アピール/メンタルダメージ20％CUT[2ターン]","﻿Visual2배 어필/멘탈데미지20%CUT[2턴]"
"Visual2.5倍アピール/メンタル5％回復","﻿Visual2.5배 어필/멘탈5%회복"
"Visual2.5倍アピール/Visual20％UP[3ターン]","﻿Visual2.5배 어필/Visual20%UP[3턴]"
"Visual2.5倍アピール/Visual30％UP[3ターン]/メンタルダメージ30％UP[3ターン]","﻿Visual2.5배 어필/Visual30%UP[3턴]/멘탈데미지30%UP[3턴]"
"Visual2.5倍アピール/Vocal＆Dance10％UP[3ターン]","﻿Visual2.5배 어필/Vocal＆Dance10%UP[3턴]"
"Visual3倍アピール/注目度40％UP[2ターン]/メンタルダメージ40％UP[2ターン]","﻿Visual3배 어필/주목도40%UP[2턴]/멘탈데미지40%UP[2턴]"
"Vocal＆Dance上限＋20","﻿Vocal＆Dance상한＋20"
"Vocal＆Dance上限＋30","﻿Vocal＆Dance상한＋30"
"Vocal＆Dance1倍アピール/Vocal＆Dance10％UP[3ターン]","﻿Vocal＆Dance1배 어필/Vocal＆Dance10%UP[3턴]"
"Vocal＆Visual上限＋20","﻿Vocal＆Visual상한＋20"
"Vocal＆Visual上限＋30","﻿Vocal＆Visual상한＋30"
"Vocal＆Visual1倍アピール/Vocal＆Visual10％UP[3ターン]","﻿Vocal＆Visual1배 어필/Vocal＆Visual10%UP[3턴]"
"Vocal1～5倍アピール[メンタルが少ないほど効果UP]","﻿Vocal1~5배 어필[멘탈이 적을수록 효과UP]"
"Vocal2倍アピール","﻿Vocal2배 어필"
"Vocal2倍アピール/メンタルダメージ20％CUT[2ターン]","﻿Vocal2배 어필/멘탈데미지20%CUT[2턴]"
"Vocal2倍アピール/興味10％UP[3ターン]","﻿Vocal2배 어필/흥미10%UP[3턴]"
"Vocal2.5倍アピール/メンタル5％回復","﻿Vocal2.5배 어필/멘탈5%회복"
"Vocal2.5倍アピール/Dance＆Visual10％UP[3ターン]","﻿Vocal2.5배 어필/Dance＆Visual10%UP[3턴]"
"Vocal2.5倍アピール/Vocal30％UP[3ターン]/メンタルダメージ30％UP[3ターン]","﻿Vocal2.5배 어필/Vocal30%UP[3턴]/멘탈데미지30%UP[3턴]"
"Vocal3.5倍アピール/注目度50％UP[2ターン]/メンタルダメージ50％UP[2ターン]","﻿Vocal3.5배 어필/주목도50%UP[2턴]/멘탈데미지50%UP[2턴]"
"Vocal3.5倍アピール/自身のメンタルを30％減らす","﻿Vocal3.5배 어필/자신의멘탈을30%줄인다"
"[条件:甘奈][確率:30％][最大:2回]","﻿[조건:아마나][확률:30%][최대:2회]"
"[条件:灯織][確率:30％][最大:2回]","﻿[조건:히오리][확률:30%][최대:2회]"
"[条件:樹里][確率:30％][最大:2回]","﻿[조건:쥬리][확률:30%][최대:2회]"
"[条件:果穂][確率:30％][最大:2回]","﻿[조건:카호][확률:30%][최대:2회]"
"[条件:智代子][確率:30％][最大:2回]","﻿[조건:치요코][확률:30%][최대:2회]"
"[条件:千雪][確率:30％][最大:2回]","﻿[조건:치유키][확률:30%][최대:2회]"
"[条件:霧子][確率:30％][最大:2回]","[조건:키리코][확률:30%][최대:2회]"
"[条件:凛世][確率:30％][最大:2回]","﻿[조건:린제][확률:30%][최대:2회]"
"[条件:メンタル90％以上][確率:30％][最大:1回]","﻿[조건:멘탈90%이상][확률:30%][최대:1회]"
"[条件:メンタル33％以上][確率:33％][最大:1回]","﻿[조건:멘탈33%이상][확률:33%][최대:1회]"
"[条件:めぐる][確率:30％][最大:2回]","﻿[조건:메구루][확률:30%][최대:2회]"
"[条件:めぐる][確率:30％][最大:1回]","﻿[조건:메구루][확률:30%][최대:1회]"
"[条件:咲耶][確率:30％][最大:2回]","[조건:사쿠야][확률:30%][최대:2회]"
"[条件:夏葉][確率:30％][最大:2回]","[조건:나츠하][확률:30%][최대:2회]"
"[条件:恋鐘][確率:30％][最大:2回]","[조건:코가네][확률:30%][최대:2회]"
"[条件:愛依][確率:30％][最大:2回]","[조건:메이][확률:30%][최대:2회]"
"[条件:摩美々][確率:30％][最大:2回]","[조건:마미미][확률:30%][최대:2회]"
"[条件:甜花][確率:30％][最大:2回]","[조건:텐카][확률:30%][최대:2회]"
"[条件:真乃][確率:30％][最大:2回]","[조건:마노][확률:30%][최대:2회]"
"[条件:結華][確率:30％][最大:2回]","[조건:유이카][확률:30%][최대:2회]"
特定のサポートイベントで解放,특정 서포트 이벤트로 해방
特定のアイドルイベントで解放,특정 아이돌 이벤트로 해방
Vocal＆Visual3倍アピール,Vocal＆Visual3배 어필
[条件:スター9以下][確率:50％][最大:2回],[조건:스타9이하][확률:50%][최대:2회]
[条件:メンタル50％以上][確率:20％][最大:2回],[조건:멘탈50%이상][확률:20%][최대:2회]
[条件:メンタル50％以上][確率:40％][最大:2回],[조건:멘탈50%이상][확률:40%][최대:2회]
[条件:メンタル50％以上][確率:50％][最大:2回],[조건:멘탈50%이상][확률:50%][최대:2회]
[条件:メンタル74％以下][確率:40％][最大:1回],[조건:멘탈74%이하][확률:40%][최대:1회]
[条件:メンタル75％以上][確率:40％][最大:1回],[조건:멘탈75%이상][확률:40%][최대:1회]
[条件:メンタル79％以下][確率:40％][最大:5回],[조건:멘탈79%이하][확률:40%][최대:5회]
[条件:観客2以下][確率:50％][最大:2回],[조건:관객2이하][확률:50%][최대:2회]
[条件:観客3以上][確率:50％][最大:2回],[조건:관객3이상][확률:50%][최대:2회]
[条件:2ターン以前][確率:40％][最大:1回],[조건:2턴이전][확률:40%][최대:1회]
[条件:2位][確率:40％][最大:1回],[조건:2위][확률:40%][최대:1회]
[条件:3ターン以前][確率:33％][最大:1回],[조건:3턴이전][확률:33%][최대:1회]
[条件:3ターン以前][確率:40％][最大:1回],[조건:3턴이전][확률:40%][최대:1회]
[条件:3位][確率:40％][最大:1回],[조건:3위][확률:40%][최대:1회]
[条件:4ターン以降][確率:20％][最大:2回],[조건:4턴이후][확률:20%][최대:2회]
[条件:スター10以上][確率:40％][最大:3回],[조건:스타10이상][확률:40%][최대:3회]
[条件:メンタル74％以下][確率:20％][最大:3回],[조건:멘탈74%이하][확률:20%][최대:3회]
[条件:メンタル80％以上][確率:40％][最大:1回],[조건:멘탈80%이상][확률:40%][최대:1회]
[条件:観客2以下][確率:25％][最大:2回],[조건:관객2이하][확률:25%][최대:2회]
[条件:2ターン以前][確率:40％][最大:2回],[조건:2턴이전][확률:40%][최대:2회]
[条件:2位][確率:30％][最大:2回],[조건:2위][확률:30%][최대:2회]
[条件:3ターン以降][確率:20％][最大:3回],[조건:3턴이후][확률:20%][최대:3회]
[条件:4ターン以前][確率:15％][最大:1回],[조건:4턴이전][확률:15%][최대:1회]
[条件:4ターン以降][確率:40％][最大:2回],[조건:4턴이후][확률:40%][최대:2회]
[条件:4ターン以降][確率:30％][最大:1回],[조건:4턴이후][확률:30%][최대:1회]
[条件:4位][確率:40％][最大:1回],[조건:4위][확률:40%][최대:1회]
[条件:6ターン以降][確率:40％][最大:1回],[조건:6턴 이후][확률:40%][최대:1회]
Vocal＆Dance3倍アピール,"Vocal＆Dance3배 어필"
Vocal＆Dance2倍アピール,"Vocal＆Dance2배 어필"
"Vocal1倍アピール","Vocal1배 어필"
"Visual1倍アピール","Visual1배 어필"
