ja,zh
あともう少し……何が足りなかったんだろう……！,앞으로 조금……무엇이 부족했던걸까……!
いい感じだわ、プロデューサー\nだけど、最高のパフォーマンスのためには\n適度な休息が不可欠よ。少し休憩しましょう！,"좋은 느낌이야, 프로듀서\n하지만 최고의 퍼포먼스를 위해서는\n적당한 휴식이 필수야. 잠시 쉬어요!"
いえーい\nまぁこれくらいは、フツーですケドねー,"이예─이\n뭐 이 정도는, 보통이지만요―"
うち、結構いいとこいけたと思たばってん……\nまだまだレッスン頑張らんといかんねー,"나, 꽤 괜찮았다고 생각했었는데……\n 아직 레슨 열심히 해야 겠네―"
お疲れさまです、プロデューサーさんっ\nあの……鳩さんに会いに、公園へ行きませんか？\nプロデューサーさんと一緒にお散歩できたらうれしいですっ,"수고 하셨습니다, 프로듀서님\n그…… 비둘기씨를 만나러 공원에 가지 않겠습니까?\n프로듀서님과 함께 산책할 수 있으면 기쁘겠습니닷"
お疲れ様、プロデューサー\nアナタはいつも、私のために頑張ってくれるけれど……\nたまには、アナタのリラックスした顔も見たいな,"수고했어, 프로듀서\n당신은 항상 나를 위해 노력해주지만……\n가끔은 당신의 릴렉스 한 얼굴도 보고 싶어"
この間、コーヒーに挑戦してみたの\nやっぱり苦くて、あんまりたくさんは飲めなくって……\nそしたら灯織が代わってくれたんだ、えへへ,"얼마전 커피에 도전해봤어\n역시 씁쓸해서, 너무 많이는 마실 수 없어서……\n그랬더니 히오리가 대신 해줬어, 에헤헤"
ね～ね～\n今、うれしか～？\nね～今～、ね～～プロデューサー！,"있잖아~네~~\n지금, 기쁘지~? \n네~~ 지금~, 네~~ 프로듀서!"
ウォント・ミー\n──捕まえられたらの\n話ですケド,원트·미 \n─잡을 수 있으면의\n이야기입니다만
コデマリさんに……教えてあげましょう……\n夏のお話……\n空と……海が……おでこをくっつけるお話……,공조팝나무씨에게……가르쳐 줍시다……\n여름의 이야기……\n하늘과…… 바다가……이마를 붙인 이야기……
プロデューサー、マジサンキュね！\nプロデューサーがいなきゃ、うち、\nちょー苦労してたと思う！,"프로듀서, 진짜 고마워!\n프로듀서가 없었다면, 나,\n조금 고생했을거라고 생각해!"
プロデューサー！\nいつからそこに……！,프로듀서! \n 언제부터 거기에……!
一生懸命がんばりましたが\n……もっともっと、できることが……,"열심히 노력했습니다만\n…… 좀더 좀더, 할 수 있는 것을……"
全力で戦えました！\n次は合格できるように、もーっと頑張ります！,전력으로 싸울 수 있었습니다!\n다음번에는 합격할 수 있도록 더욱 열심히 하겠습니다!
日頃から食事には気を遣うようにしてます\n栄養のバランスが偏ると、活動にも影響しますからね\nプロデューサーも、気を付けた方がいいですよ,"평소부터 식사에는 신경 쓰고 있습니다\n영양의 밸런스가 치우치면, 활동에도 영향을 주니까요\n프로듀서도 조심하는 편이 좋아요"
甘奈、できたんだね……！\nえへへ……本当に、よかった……！,"아마나, 해냈구나……! \n헤헤…… 정말, 다행이다……!"
甜花ね……いっぱい、いっぱい、頑張れた……\nだから……にへへ、いっぱい、嬉しい……,"텐카~…… 정말, 정말, 힘냈다……\n그러니까…… 니헤헤, 정말, 기뻐……"
窓の外って色んな人が見えるから楽しいっすよね！\nプロデューサーさんも一緒にどっすか？,창 밖은 여러사람이 보여서 즐거슴다\n프로듀서님도 함께 어떻슴까?
諦めるの……甜花、得意で、慣れてて……楽だけど……\nでも、好きじゃないし……\n諦めたくないことも、たまに……ある、かも……,"포기하는거…… 텐카, 잘하고, 익숙해서……편하지만……\n하지만 좋아하지 않고……\n포기하고 싶지 않은 것도, 가끔...…있을지도...…"
負けた……のかな……\nお、終わりたくないよ……！,"졌다......일까나......\n아, 끝내고 싶지 않어......!"
……、うそ、優勝？　私が……！？\n────よしっ……！,"﻿……, 거짓말, 우승? 내가……!? \n─좋아……!"
あとちょびっとだったんだけどな～……,앞으로 조금이었는데 말야~……
あと一歩でしたね……惜しかったです,앞으로 한 걸음이었지요……아쉬웠습니다
あの……私の話し方って、どう思いますか？\nちょっと、キツめというか、厳しい……ですよね\n直したいんですけど……どうしたらいいか……,"저......내 말투에 대해서 어떻게 생각합니까?\n 조금, 힘들달까, 엄하……군요\n고치고 싶지만...어떻게 해야 좋을지....."
あー……\nうちが足引っ張んなきゃ完璧、だった系……？,"아─……\n내가 발목잡지 않았으면 완벽, 이었던 게……?"
うちも……\nうちだって、負けてなかったもんね！,"나도……\n우리도, 지지 않았으니까!"
うちらの咆哮が\n世界を灯す──,우리들의 포효가\n세계를 빛낸다─
ここまでか……\nでも、ここへ来れてよかった,"여기까지인가……\n하지만, 여기까지 올 수 있어서 좋았다"
ふふ……次、がんばらなきゃ……,후후……다음엔 열심히 하지않으면……
ふゆなんて、こんなものよ,"후유는, 이런 거야"
またみんなで来ようね！\nお仕事じゃなかったら、\nプロデューサーも遊べるでしょ？,"또 모두가 오자!\n일이 아니라면, \n프로듀서도 놀 수 있겠죠?"
まだまだ……\n成すべきことが……あるのでしょう……,아직……\n해야 할 일이... 있는 거겠죠......
もうすぐ……発売日……\n甜花の大好きな……超大作シリーズの、新作……\nだから、今日のお仕事は……いっぱい、頑張る……！,"이제 곧……발매일……\n텐카가 정말 좋아하는…… 초대작 시리즈의, 신작……\n그러니까, 오늘 일은……잔뜩 힘낸다……!"
トップアイドルを目指すなら、くじけていられないわね！,"톱 아이돌을 목표로 한다면, 좌절하고 있을 수 없지!"
ファンのみなさんの笑顔、とてもよく見えました\nきっと、感謝の気持ち、届きましたよね……！,"팬들의 미소, 매우 잘 보였습니다 \n분명, 감사한 마음이 도착했겠지요……!"
プロデューサープロデューサー。余計なお世話かなーとは\n思うんだけどさ、根詰めすぎないようにね？\n……三峰だって、大事な人の心配ぐらいするんだから,"프로듀서 프로듀서. 쓸데없는 참견이라고\n생각하지만, 너무 심하게 몰두하지 말아요? \n……미츠미네도, 소중한 사람의 걱정 정도는 하니까"
ヤッバ！,얍바!
今日は……秋のお話をしましょう……\nオジギソウのみなさんが……\n月に……お辞儀するお話……,오늘은…… 가을의 이야기를 합시다……\n함수초의 여러분이……\n달에…… 절하는 이야기……
合格できて嬉しい\nこれでまた１歩、トップアイドルへの道を進める,"합격할 수 있어서 기뻐\n이것으로 또 한 걸음, 톱 아이돌의 길에 진행했다"
手応えは、あったんだけど……\nまたレッスンしなくちゃ……,"반응은, 있었지만……\n또 레슨을 하지 않으면……"
目を閉じたら……\n甘～い夢、見られるかな？,눈을 감으면……\n달콤한 꿈 꾸려나?
んふふ～\n『うまか～』か『うれしか～』\nうちとおる時はどっちかやけん、約束～！,"응후후~\n『맛있구마~』거나 『기쁘구마~』\n내랑 있을 때는 둘 중 한쪽이니께, 약속~ !"
……あと１歩だったのに……\nここまでの悔しさは……感じたことなかったな,﻿……앞으로 한 걸음이였는데……\n여기까지의 분함은……느껴본 적이 없었어
……ふふ、悪い子の大勝利ですー,"…… 후후, 나쁜 아이의 대승리예요―"
……へ？\n……えっと……ふ、ふゆが、一番、なの……？,"…… 헤?\n……저기……후, 후유가, 최고, 야……?"
……楽しかった……\n……楽しかったって言ってんの！,……즐거웠다……\n……즐거웠다고 하는 거야!
……次のためにも、今からもっとレッスンしますねっ,"……다음을 위해서도, 지금부터 더 레슨할께요"
あと一歩届きませんでした…。次はもっと頑張ります！,앞으로의 한 걸음에 닿지 못했습니다…. 다음은 좀 더 노력하겠습니다!
ありがとう……！\n最高の栄誉だわ！,고마워요……! \n최고의 영예예요!
うぅ……,우우……
え……\nもう、終わりなの……？,"에……\n 이제, 끝이야……?"
えっへへー\nレッスンの成果、出てきてるね☆,"엣헤헤―\n레슨의 성과, 나오고 있네요☆"
ここまでこれただけでもヤバいけどさ\nやっぱ、優勝したかった……かな,"여기까지 온 것만으로도 위험한 거지만\n역시, 우승하고 싶었어...라나"
この前のお休み、甜花ちゃんと一緒にお菓子作ったんだよ！\n上手にできたから、持ってきちゃった\nはい！　どーぞ☆　プロデューサーさん！　えへへ,"일전의 휴가, 텐카쨩과 함께 과자 만들었어! \n잘 됐으니까 가져와버렸어\n네! 아무쪼록☆ 프로듀서님! 에헤헤"
これ……お姫様みたい……\nにへへ……甜花は、お布団の国の……お姫様……,"이거…… 공주님같아……\n니헤헤…… 텐카는, 이불 나라의…… 공주님……"
とっても嬉しいですっ！\n本番でも、みんなを笑顔にしちゃいます♡,"매우 기쁩니닷! \n실전에서도, 모두를 미소짓게 해 버리겠습니다♡"
どんな夜明けも、\nプロデューサーさんと一緒なら\n大丈夫だから……,"어떤 새벽도,\n프로듀서님과 함께라면\n괜찮으니까……"
なんだろう……\nこの、熱いの……胸、いっぱいなの……,"무엇일까……\n이, 뜨거운 거……가슴, 가득해……"
ねぇねぇ、次の衣装のイメージって、決まってたりする！？\nもし、まだだったら、甘奈\nちょっと使ってみたいモチーフがあるんだよね！,"있지있지, 다음 의상의 이미지는, 정해져 있거나 해!? \n만약, 아직이라면, 아마나\n조금 사용해 보고 싶은 모티프가 있어요!"
ふゆより可愛いとか、歌が上手いとか、そんな子もいるかも\nでも……あんたはふゆのプロデューサーなんだから、\nよそ見してたら許さないんだからね！,"후유보다 귀엽다던지, 노래를 잘 한다던지, 그런 아이도 있을지도 몰라\n하지만...넌 후유의 프로듀서니까, \n한눈을 팔면 용서하지않아!"
まだまだ！,아직 멀었다!
もう１歩のところで……,또 한 걸음에서……
やった……！　にへへ……甜花……勝ったんだよね……,해냈다……!니헤헤…… 텐카…… 이긴 거네요……
やったわね！　プロデューサー！\n私もアナタに負けていられないわ……\nうふふ、一緒にレベルアップしていきましょうね！,"해냈네! 프로듀서!\n나도 당신에게 지지 않아……\n후후, 함께 레벨업 해가요!"
やったわ！\n本番も完璧なステージにするわよ！,해냈어! \n실전도 완벽한 스테이지로 만들자!
やったー！　褒めてもらえたよー！\n本番はもっともっと楽しいステージにしたいなー！,해냈다―! 칭찬 받을 수 있었어!\n실전은 좀더 좀더 즐거운 스테이지로 하고 싶어!
よ、よかった……っ\nみんなと力を合わせて……本番も──っ,"다,다행이다……\n모두와 힘을 합해……실전도─"
よかったぁ……！\nみんな、楽しんでくれたってことですよね……！,"다행이다……!\n모두, 즐겨줬다는 것이군요……!"
わぁ……ふふっ……\nみなさんに……ありがとう……,와아……후훗……\n여러분에게……고마워요……
わたしたちが一番きらきらできたってこと……？\n……わーっ！　頑張ってよかったー！,우리가 제일 반짝반짝 했었다고……? \n…… 왓! 힘내서 다행이야-!
わたしたちだけの……秘密です……\nコデマリさんが……\n寂しがっていること……,우리들만의…… 비밀입니다……\n공조팝나무씨가……\n쓸쓸해 하는 일……
わたしと一緒に楽しいこと探すっす！,나랑 함께 즐거운 일 찾아요!
アイドルなんて、アタシのガラじゃない\n……けど、何かに向かってがむしゃらに突っ走るのは、\n結構好き……だと、思う,"아이돌이라니, 나의 분수가 아니야\n……하지만, 무언가를 향해 힘차게 달리는 것은,\n꽤 좋아해...라고, 생각한다"
プロデューサー、事務所でペット飼いませんかぁ？\n爬虫類がおすすめですよー\n可愛いし、エサの頻度も少ないし、何より可愛いのでー,"프로듀서, 사무실에서 애완동물 키우지 않을래요?\n파충류를 추천해요―\n 사랑스럽고, 먹이의 빈도도 적고, 무엇보다 귀엽기 때문에―"
プロデューサーさん、いつもふゆのこと見てくれて\nありがとうございます！\n……ふふっ、これからも、よろしくお願いします♡,"프로듀서님, 언제나 후유의 일을 봐주셔서\n고마워요!\n…… 후훗, 앞으로도, 잘 부탁드립니다♡"
プロデューサーに会うまでは……\n私には、足りないものも、できないことも\nなかったはずなんですよねー,"프로듀서를 만날 때까지는……\n나에게는, 부족한 것도, 할 수 없는 것도\n없었을 거예요―"
プロデューサー！　お願いがあるの！\n今から一緒にお茶とかどうかな！？\nわたし、もっとプロデューサーとお話がしたいんだ！,"프로듀서! 부탁이 있어!\n지금부터 함께 차라든지 어떨까!?\n나, 좀 더 프로듀서와 이야기를 하고 싶어!"
三峰のハートを温めてくれちゃ\nう優しい人は誰？　\n……ほら、教えてよ,"미츠미네의 하트를 녹여 주는\n상냥한 사람은 누구야?\n……자, 가르쳐줘"
上手くできたっすね,능숙하게 할 수 있던 검다
今ならきっと、歩き出せる気がする\nアタシは……前に進みたい,"지금이라면 분명, 걸어갈 수 있을 것 같어\n나는......앞으로 나가고 싶어"
今日もアナタと仕事ができたこと、とても光栄に思うよ\n明日も、明後日も、その先も……\nアナタの隣で、アイドルであり続けたい,"오늘도 당신과 일을 하게 된거, 매우 영광으로 생각해\n내일도, 모레도, 그 앞도……\n당신 옆에서 계속 아이돌로 있고 싶어요"
全力を出せたので、悔いはありません\nでも……えへへ、ちょっとショックだなぁ……,"최선을 다했으므로 후회하지 않아\n하지만…… 에헤헤, 조금 쇼크네……"
客席にも、ステージにも、笑顔が溢れて……\n本当に、かけがえのない時間だったよ,"객석에도, 스테이지에도, 미소가 흘러넘쳐……\n 정말로, 둘도 없는 시간이었어"
残念だけれど、これが今の私の実力ってことね……,"유감이지만, 이것이 지금의 나의 실력이라는거네……"
決勝のステージ、立ちたかったな……,"결승의 스테이지, 서고 싶었어……"
甜花……頑張ったけど\nやっぱり……まだまだ、だね……,"텐카…… 노력했지만\n 역시…… 아직, 무리구나……"
真乃とめぐる……\nふたりと一緒なら\nどこまでだって！,마노와 메구루……\n두 사람과 함께라면\n어디까지라도!
私、ダメだったんですねー……,"나, 안된거군요─……"
風の鈴……\n心……燃えるような音……,바람의 령……\n마음......불타는 듯한 소리……
う、うれしい……！\nふふ……！,"﻿기, 기뻐……!\n후후……!"
えぇ～、結構、イケてたと思ってたのに～\nま、あとで反省会すっか～,"에에~, 상당히, 괜찮았다고 생각했었는데~\n뭐, 나중에 반성회할까~"
おっ、お疲れ～、プロデューサー\nうち、こんなカンジだけど、\nまーヨロシクね～,"수, 수고했어~, 프로듀서\n나, 이런 느낌이지만,\n뭐―잘 부탁해~"
まだまだこんなものじゃない。もっと上を目指すわ！,아직 이런게 아니야. 좀 더 위를 목표로 할게!
もとより、届かぬ、運命だったのでしょう……,"원래, 닿지 않는, 운명이었던 거겠지요……"
わあ……！\nえへへっ、あたしたちは最高で、ナンバーワン、です……！,"와아……! \n에헤헤, 우리들은 최고로, 넘버원, 입니다……!"
アンタにはいつも助けられてばっかで……その、悪い\n──え……お、お礼の方がいいとか言うな！　誰かを頼りに\nするとか……そういうの、あんまり慣れてねーんだよ……！,"너에게 항상 도움받아서 바보같고…… 그, 나쁘다\n─에…… 다, 답례가 좋다든가 말하지마! 누군가를 의지\n한다던가…… 그런 건, 그다지 익숙하지 않아……!"
プロデューサーさん、マメ丸と遊びませんか！？\nうちの家族はみーんな、マメ丸と遊ぶと元気になるんです！\nお散歩もあわせると、効果はもーっと上がります！,"프로듀서님, 마메마루와 놀지 않겠습니까?\n우리 가족은 모두 마메마루와 놀면 건강해집니다!\n산책도 합하면, 효과는 더욱 올라갑니다!"
放物線と……約束したの……\nいつか逆さになって\n空にさわろうって……,포물선과…… 약속했어……\n언젠간 거꾸로 되어서\n하늘에 닿자고……
白い……白い……コデマリさん……──\n病院に……咲いているんです……\n小さい頃から……ずっと一緒で……,하……하얀……공조팝나무씨……─\n병원에……피어 있습니다……\n어렸을 적부터……쭉 함께……
私のこれからについて……\nアナタは、どんな未来図を描いているのかな\n未来の私は、アナタを笑顔にさせられているだろうか,"나의 앞으로의 미래에 대해서……\n당신은, 어떤 미래도를 그리고 있을까\n미래의 나는 그대를 미소짓게 만들고 있을까"
連れていって……\n空の奥まで……二万マイル……──,데려가……\n하늘의 안쪽까지……2만마일……─
──はっ！　プロデューサーさん……！？\n違うんです、これは決してつまみ食いとかではなくて、\n美味しいチョコに失礼をしないためのですね──！,"﻿─핫! 프로듀서님……!? \n다릅니다, 이것은 결코 군것질이 아니라, \n맛있는 쵸코렛에 실례를 하지 않기 위해서 말이죠─!"
『最上、最愛、最高潮！　団結力ナンバーワンッ！』\nえへへっ、あたしたちが出てきた時に言うんです！\nジャスティスＶみたいに、カッコよく登場するんですよ！,"『최상, 최애, 최고조! 단결력 넘버원!』\n에헤헤, 우리가 나갔을 때 하는 거에요! \n저스티스V처럼 멋있게 등장하거든요!"
いえ……わざわざ申し上げることでは……\n──桜が……咲いております……\nプロデューサーさま……,아니오…… 일부러 말씀드리는 것은……\n─벚꽃이......피고 있습니다……\n프로듀서님……
え？　今、優勝って言った？　言ったよね？\nヤバい！　マジでどうしよ！？,에? 방금 우승이라고 했지? 말했지?\n 위험해! 진짜로 어떡하지!?
っ……！　……切り替え切り替えっ……！,읏……! ……전환 전환……!
ふふふっ……\nみんなの……思い出……,후후훗……\n모두의……추억……
ほわっ、たくさん頑張ってよかったですっ,"호왓, 많이 노력해서 다행이에요"
わ……！　よかったです……\nわたしも……力になれてるのかなって……,와……! 다행입니다……\n저도……힘이 되고 있는걸까 라고……
アイドルになって、たくさん、たーっくさん！\n楽しいことや、わくわくすることが増えました！\nプロデューサーさんに、いっぱいいっぱいお話したいです！,"아이돌이 되어, 많이, 많이! \n재밌는일이나, 두근두근하는 일이 증가했습니다! \n프로듀서님에게, 잔뜩 잔뜩 이야기 하고 싶습니다!"
アタシは何になれるのか、\nそれは、\nまだわかんねーけど──……,"내가 무엇이 될 수 있을까, \n그건, \n아직 모르겠지만─……"
チョコアイドル園田智代子！\nやみつきにさせてみせますよ！,초코 아이돌 소노다 치요코! \n습관이 붙게 만들겠습니다!
プロデューサーさんが\n私を見つけてくれたんです,프로듀서님이\n저를 찾아 주셨습니다
前に進みたいって、\nもっと頑張ってみたいって思ったんだ,"앞으로 나아가고 싶다고, \n더 열심히 해 보고 싶다고 생각했어"
次でラスト……よっし……やり切るわ！,다음으로 라스트……좋아……해 낼게!
甘くて最高な私のステージ、\nもっともーっと届けたいです！,"달콤하고 최고인 나의 스테이지, \n좀 더 많이 닿고 싶습니다!"
白いとこ……踏みながら……\n帰りましょう……,하얀 곳……밟으면서……\n돌아가요……
相手の人、スゴかったです……\nあたしも、もっともっと努力しないとですね！,"상대편, 굉장했어요……\n저도 좀 더 노력해야겠어요!"
絵の具は様々な色が混ざると濁ってしまうのに\n世界は混ざりあうことでより美しくなるから不思議だね\n……私とアナタで、この世界をどのように彩れるのかな？,"그림물감은 여러가지 색이 섞이면 탁해져 버리는데\n세계는 서로 섞이는 것으로 보다 더 아름다워지니까 신기하네\n…… 나와 당신으로, 이 세계를 어떻게 물들일 수 있을까나?"
貴方さまを……お待ちして……\n額づいているのです……\n夕顔は……,당신을…… 기다리며……\n절하고 있습니다……\n박꽃은……
わーいっ！　また正義のアイドルに一歩前進ですっ！,와~이! 또 정의의 아이돌로 한걸음 전진했습니다!
……あ……\n……そっか、ふゆ……負けちゃったんだ……,"﻿……아……\n……그런가, 후유……져버렸어……"
……もっと、やれることがあるはずですよね,"…… 좀 더, 할 수 있는 일이 있을 겁니다"
……負けちゃった……？　そんな……,…… 져 버렸어……? 그런……
──……！　よーし、だったら……！\nまだまだ楽しんでもらっちゃいますよ……！,"─……! 좋아, 그렇다면……!\n아직 즐겨 보아요……!"
──ありゃ、気付かれちゃった\nお仕事中のＰたんの写真、\nゲット～って思ったのになぁ,"─아랴, 눈치채이고 말았다\n업무 중인 P땅 사진, \n겟~이라고 생각했는데"
あ……あのっ、いつもご迷惑をおかけしちゃって\nすみません……っ\nこ、これからもよろしくお願いしますっ,"저……저기, 언제나 폐를 끼쳐버려서\n미안합니다……\n아, 앞으로도 잘 부탁드립니닷"
うひゃあっ,우햐앗
えへへっ！　やりました！\n本番は、もっともっとスッゴくなっちゃいます！,"에헤헷! 해냈어요! \n실전은, 좀더 좀더 굉장할 거에요!"
ここまでファンのみんなの\n声が聞こえるっすよ！　,여기까지 팬 모두의\n목소리가 들려요!
さぁ、\n盛り上げてくるっすよ～！,"자, \n분위기를 띄우고 올게요~!"
たくさんのキラキラ、\n集めるっす！,"잔뜩 반짝반짝,\n모으는 검니다!"
たくさんの時間、\nたくさんの思い出が\nとっても大切です……！,"많은 시간, \n많은 추억이\n매우 소중합니다……!"
にへへ……ステージ、楽しかった……\nみんなも……おんなじだったら、いいな……,"니헤헤…… 스테이지, 즐거웠다……\n모두……같은 느낌이었으면 좋겠다……"
にへへ……\nでも、まだ中ボス……ラスボスが、待ってる……,"니헤헤……\n하지만, 아직 중간보스……라스트 보스가, 기다리고 있어……"
ねえ、ごはん食べ行くわよ！\n前に見つけたお店の、期間限定激辛……──何、その顔\nあんたなら、変な気遣い要らないでしょ？,"저기, 밥 먹고 가요!\n전에 찾아낸 가게의, 기간 한정 극 매운……─뭐야, 그 얼굴\n당신이라면, 이상한 걱정 할 필요 없잖아?"
ふふー……\nまみみたちが揃えば、最強ですからねー,"후후─……\n마미미들이 모이면, 최강이니까요―"
ふふー、上々ですねー\nちょっとだけ楽しみになってきたかもー,"후후─, 훌륭하네요―\n 조금 기다려졌을지도요―"
ほわぁ……っ\nファンのみなさんから、たくさんの勇気を貰えたおかげです,"호와아……\n팬 여러분으로부터, 많은 용기를 얻은 덕분입니다"
めんどーじゃなければいいよー,귀찮게만 아니면 좋아
やったわ、プロデューサー！　決勝進出よ！,"해냈어요, 프로듀서! 결승 진출이야!"
やっ！,얏!
よっしゃ……\nあ、え、えっと……えへへ、すっごく嬉しいです♡,"좋았어……\n아, 에, 엣또…… 에헤헤, 정말 기쁩니다♡"
よっしゃ！\n今回は作戦成功！　ってカンジ～？,좋았어! \n이번은 작전 성공! 이라는 느낌~?
アイドルになってから、簡単にいかないこと\nばっかりで──ケド、諦めるなんて、ダサいから\n…………本当、大変ですよね,"아이돌이 되고 나서, 쉽사리 되지 않는 것\n뿐이─지만, 단념하다니 촌스럽기 때문에 \n…………사실, 힘들어요"
アイドルのこと……\n結局、わからないまま……,"아이돌의 일……\n결국, 모르는 채……"
アンティーカのみんなとか、プロデューサーとか……\nこんなふうに、特定の誰かとずーっと一緒にいるのって\n今まであんまりなかった気がしますー,"안티카의 모두라든지, 프로듀서라든지……\n이런 식으로, 특정 누군가와 쭉 함께 있었던 것은\n지금까지 별로 없었던 것 같아요―"
チョコアイドルは一日にして成らず──\nプロデューサーさんっ！　これからも二人三脚で、\n一緒に頑張っていただけたら嬉しいです！,"초코아이돌은 하루만에 이루어지지 않는다─\n프로듀서님! 앞으로도 2인 3각으로,\n함께 열심히 해 주시면 감사하겠습니다!"
ファンのみなさんに力をもらって、\nスッゴくいいステージができました！,"팬 여러분께 힘을 받아,\n굉장하고 좋은 스테이지가 되었습니다!"
プロデューサー、最近よーく三峰に声かけてくれるよねぇ\n……三峰のこと、そんなに知りたい？\nそっかそっかー。じゃあ、まだまだ頑張って構ってね！,"프로듀서, 최근 미츠미네에게 말을 잘 걸어주는군요\n……미츠미네에 대해서, 그렇게 알고 싶어?\n그렇구나. 그럼, 아직 열심히 해!"
プロデューサーさま……みなさまに……\n喜んでもらえるのでしたら……何よりです……,프로듀서님……여러분이……\n기뻐하실 수 있다면……무엇보다 다행입니다……
プロデューサーさん、お疲れさま！\n甘奈のアイドルとしての日々は始まったばかりだけど\nこれからもよろしくねっ！,"프로듀서님, 수고하셨습니다!\n아마나의 아이돌로서의 나날은 이제 막 시작되었지만\n앞으로도 잘 부탁해!"
プロデューサーさん、これからもわたしと一緒に\n楽しいことを探してほしいっす！,"프로듀서님, 앞으로도 나랑 함께\n즐거운 일 찾으셨으면 함니다!"
プロデューサー！\n今日、うまか～とうれしか～\n何個あったと～？,"프로듀서! \n오늘, 맛있는~ 화과자가~\n몇개 있었다고~?"
マジか……！？\n……っ、アタシ、最高の気分だよ……！,"레알……!? \n……, 나, 기분 최고야……!"
ヤバッ！,야박!
優勝……？　本当に……？,우승……? 정말로……?
凛世の胸は、苦しいほどに、高鳴るのです……,"린제의 가슴은, 괴로울 정도로 두근두근거리는 것입니다……"
凛世は……もっと……\n世界を広げなければなりません……,린제는…… 좀 더……\n세계를 넓히지 않으면 안됩니다……
勢いに乗って\n飛んでいきましょうっ\n両手の星と……最後までっ,기세를 타고\n날아 갑시다\n양손의 별과……마지막까지
当たり前だけど、なんでもホイホイ\n写真撮ってるわけじゃないからね？,"당연하지만, 뭐든지 호이호이\n사진 찍는건 아니니까?"
後少しだったのに……！　届かなかった……！,앞으로 조금이었는데……! 닿지 않았다……!
悪くないわ、プロデューサー\nでも……トップになるためにはまだまだよ！\n一秒だって無駄にはできないわ！,"나쁘지 않아, 프로듀서\n하지만……톱이 되기 위해서는 아직도!\n1초도 낭비할 수 없어요!"
我は……\n自由のための……導火線なり……！,나는……\n자유를 위한......도화선이다……!
最近、自分の小さなことが気になっちゃうんです\nたとえば、前髪に変なクセがついてないかなぁとか\n……これって、アイドルになったからなんでしょうか？,"최근, 자신의 사소한 것들이 마음에 걸립니다\n예를 들어, 앞머리에 이상한 자국이 묻어있는가? 라든지\n…….이것은, 아이돌이 되었기 때문일까요?"
棒のアイスと～あんまんやろ～？\nはんぶんこが、うれしかよ,"막대 아이스크림과~찐빵~? \n반등분으로, 기쁘려나"
楽しそうなことの基準っすか？\nそんなこと考えたこともなかったっす！\n見た瞬間にわかっちゃうっすよ！,즐거워 보이는 것의 기준입니까?\n그런 건 생각해 본 적도 없어요!\n보는 순간에 알게 되네요!
波の音……\n耳をすますと聞こえてきます,물결의 소리……\n귀를 기울이면 들려옵니다
甘奈、プリンすっごく好きなんだ～\nそれでね、この前めっちゃ美味しいの見つけたの！\n今度持ってくるから、一緒に食べよ？,"아마나, 푸딩 굉장히 좋아한다~\n그래서, 요전에 굉장히 맛있는 것을 찾아냈어!\n이번에 가져올테니 같이 먹어요?"
結構いい線行けたと思ったのになー……\nよっし！　次はがんばらないとね！,상당히 좋은 선까지 갈 수 있었다고 생각했는데―……\n좋앗! 다음엔 힘내야지!
１月16日生まれの山羊座、Ｏ型。出身地は──\nええ？　プロフィールに載ってない話が聞きたいの？\n……それはだぁめ。まだポイントが足りないんだなぁ,"1월 16일 태생의 염소자리, O형. 출신지는─\n예? 프로필에 실려 있지 않은 이야기를 듣고 싶은거야?\n…… 그건 안돼. 아직 포인트가 부족하네요"
あうぅっ,﻿아우웃
小鳥来る窓に……\n貴方さまを……お待ちしましょう……,작은 새가 오는 창문에……\n당신만을…… 기다립니다……
よっしゃ！\n本番もこの感じで、ファンに届けねーとな！,"좋았어! \n실전도 이 느낌으로, 팬에게 전해주지 않으면 안돼!"
くっ……まだ、足りない……！,"큿…… 아직, 부족해……!"
プロデューサーは本当に……\n私のことを理解してくれてて\n……とても嬉しいです,프로듀서는 정말로……\n나를 이해해 주고 있어서\n……굉장히 기뻐요
この前のライブ、わたしが一番練習したとこで\n盛り上がりが最高潮になったんすよ！\n狙いがしっかり当たると嬉しいっすね！,"지난번의 라이브, 제가 제일 연습한 부분에서\n분위기가 최고조에 올랐슴다!\n노림수가 제대로 맞아서 기뻤슴다!"
やったぜ！　アタシたちと一緒に、\nファンも楽しんでくれたみたいだな！,"해냈다고! 우리들과 함께, \n팬들도 즐겨줬나봐!"
ふぅ……なんか不思議たい……泣くほど悔しいのに\nちょっとすっきりもしてる……なんでやろね……,후우…… 뭔가 신기해…… 울 만큼 분한데도\n조금 시원하기도 해......왜일까……
やったぁ！\nこのまま本番まで駆け抜けますよー！,했다아! \n이대로 실전까지 달려나가요!
私の知らないアナタのことを、もっと知りたいな\n楽しかったこと、喜んだこと、失敗したこと、後悔したこと\nアナタのことを余さず知りたいなんて……私はワガママかな,"내가 모르는 그대를 좀 더 알고 싶어\n즐거웠던 일, 기쁜 일, 실패한 일, 후회한 일\n당신의 모든 걸 남기지 않고 알고 싶다니……나는 멋대로인가"
……あの鐘は、\n幸せを呼ぶ平和の鐘\nなんですって,"﻿…… 그 종은,\n행복을 부르는 평화의 종\n이라고"
……ここまで来れてうれしいです\nでも、悔しいです……,"…… 여기까지 올 수 있어 기쁩니다\n하지만, 분합니다……"
