text,trans,type
[月10個まで購入可能],[월 10개까지 구입 가능],limit
[月25個まで購入可能],[월 25개까지 구입 가능],limit
[月100個まで購入可能],[월 100개까지 구입 가능],limit
[月3個まで購入可能],[월 3개까지 구입 가능],limit
[月1個まで購入可能],[월 1개까지 구입 가능],limit
[お1人様5個まで],[1명5개까지],limit
[お1人様2つまで],[1명2개까지],limit
[お1人様3つまで],[1명2개까지],limit
[毎日1個まで購入可能],[매일 1개까지 구입 가능],limit
[毎日2個まで購入可能],[매일 2개까지 구입 가능],limit
[毎日3個まで購入可能],[매일 3개까지 구입 가능],limit
[毎日10個まで購入可能],[매일 10개까지 구입 가능],limit
