ja,zh
忙しいのは知ってるけど\n──,바쁜 건 알고 있지만\n
残念,아쉽네
え、うん。いいの？,"에, 응. 그래도 돼?"
……あれ\nプロデューサー、サボり？,"……어라\n프로듀서, 농땡이?"
……えっ,……엣
──あ、合格なんだ,"아, 합격이구나"
──った……\n……何？,……\n……뭐야?
うん、いい予感がする。今日は,"응, 예감이 좋아. 오늘은"
え、うん\nバレてた？,"에, 응\n눈치 챘어?"
え？,에?
え？\n──どしたの,에? \n무슨 일이야
おーい……\n──って、聞こえないか……,어이……\n안 들리나……
お疲れ様\n頑張ろう,수고하네\n힘내자
ごめんね\nぶつかった？,미안해\n부딪쳤어?
てっぺん……\n近づいてるみたいな感じがするんだ,정상……\n가까워지는 것 같은 느낌이 들어
ねぇ\n……あれ、言うこと忘れた,"있잖아\n……어라, 할 말 잊었다"
ふぁ……\n──あ、ごめん,"후아……\n아, 미안"
ほら、頑張るよ\nプロデューサー,"자, 힘내자\n프로듀서"
もしかしてさ、\nそういう感じで触ってる？,"혹시 말야,\n그런 느낌으로 손대고 있는 거야?"
よーし,좋-아
ん？,응?
アイドルってもっと特別な感じかと思ったけど\n学校と変わんないね,아이돌은 좀 더 특별한 느낌일까 생각했는데\n학교랑 다를 거 없네
今週は休みにしようか\n──ちょっと疲れてるだろ？,이번 주는 쉬기로 할까\n조금 지쳤잖아?
何？　最近ヘンだよ,뭐야? 요즘 이상해
私、こうやって会えたこと\n嬉しいから,"나, 이렇게 만나게 된 거\n기쁘니까"
言いたいこと、\n言ってくれていいから,"말하고 싶은 것,\n말해줘도 좋으니까"
ふゆがもっともっとすごいアイドルになったら、\nプロデューサーの仕事も大変になるかもね！！\nあははっ、そうなっても、苦情は受け付けないから！,"후유가 더욱 더 굉장한 아이돌이 된다면,\n프로듀서가 할 일도 엄청 많아질지도 모르겠네!!\n아하핫, 그렇게 되더라도, 푸념은 안 들어줄 거야!!"
助手やってくれるっすか、\nプロデューサーさん！,도와주시는 검까?\n프로듀서님!
来るっすよ\nすごいもの見せてあげるっす,오고 있슴다\n엄청난 걸 보여주겠슴다
行くだけっす\n行く以外の選択肢がないっすから,갈 뿐임다\n가는 것 말고는 선택지가 없으니까요
飛行機来てるっす！\n追いかけるっすよー！,비행기가 오고 있슴다!\n쫒아가겠슴다-!
八宮めぐるはこういう子なんだよー！　って、\nもっともっとみんなに知ってもらえるといいなぁ\n──えへへ、まだまだ頑張らなくちゃだよね！,"하치미야 메구루는 이런 사람이야~! 하는 걸,\n더 더욱 많은 사람들이 알아 줬으면 좋겠다~\n에헤헤, 좀 더 열심히 해야겠네!"
プロデューサーがプロデューサーでいてくれるのは、\n特別なことだってわかってるのに……\n隣にいるのが当たり前すぎて、忘れそうになっちゃうんだ,"프로듀서가 프로듀서로서 있어주는게,\n특별하다는 걸 알고는 있는데……\n옆에 있는게 너무 당연해서 잊어버리곤 해"
は、はあ！？\n急に何してんだよ！,"하, 하아!?\n갑자기 뭐하는 거야!"
ほんとに、ふゆでいいの？\nもっといい子とか、すごい子がいても、それでも──\n──……ふゆがいいって、言ってくれるの？,"정말로, 후유로 괜찮아?\n더 좋은 애나, 대단한 애가 있어도, 그렇다 해도\n……후유가 좋다고, 말해주는 거야?"
──『ロイヤルストレートフラッシュ』,『로열 스트레이트 플래시』
この宇宙のお宝、\nすべて私がいただくわ！,이 우주의 보물\n전부 내가 챙겨가겠어!
ポーカーだろうがなんだろうが\nやるからには、勝たせてもらうわよ！,"포커든 뭐든\n이왕 하는 이상, 이기도록 할게!"
宇宙でも当然、\n目指すはトップだけよ！,"우주에서도 당연히,\n목표는 톱뿐이야!"
鳴り止まない音に向かって──,그칠 줄 모르는 소리를 향해
ふふっ\nお出かけってほどじゃ、\nないんですけど,"후훗\n나간다고 할 정도는,\n아니지만요"
プロデューサーさん、\nいってらっしゃいですー……！,"프로듀서님,\n잘 다녀오세요-……!"
心は、レースの奥に,"마음은, 레이스의 안쪽에"
おめでとー！　って灯織に抱きついたけど、今日は「離れて」って言われなかったんだー！,"생일 축하해~! 라면서 히오리에게 달라붙었는데, 오늘은 「떨어져」라고 안 했어~!"
今日は灯織ちゃんのお誕生日なので、バウムクーヘンでケーキを作ってきましたっ,"오늘은 히오리쨩의 생일이라서, 바움쿠헨으로 케이크 만들어 봤어요"
たとえ曇り空でも……\n太陽は輝いてるよ……！,비록 흐린 하늘이어도……\n태양은 빛나고 있어……!
みんなのハートも……\nあたたかに……,모두의 하트도……\n따뜻하게……
雲間から差し込む光……\nめっちゃ綺麗だったね……,구름 사이로 비치는 빛……\n너무 예뻤어……
頂上でお弁当！\n楽しみだね☆,정상에서 도시락!\n기대되네☆
──こがたんにバレずにプレゼント\nを仕込む、それが我々のミッション\nです。おっけー？,"코가땅에게 들키지 않고 선물 사기,\n 그것이 우리들의 미션입니다. 오케이~?"
今日は一日、恋鐘のナイトだよ\nナイトは何人いてもいいのだけど……アナタもいかがかな？,오늘 하루는 코가네의 기사야\n기사는 몇 명이 있어도 괜찮은데……당신도 어때?
今日は何の日でしょうかぁ\n①恋鐘の誕生日、②プロデューサーがケーキを買う日。ふふー,"오늘은 무슨 날일까요오\n①코가네의 생일, ②프로듀서가 케이크를 사는 날. 후후ー"
誕生日ばい……\nプロデューサーさん……\n春が……生まれた日……,생일이랑께...\n프로듀서님...\n봄이...태어난 날...
ちょこ先輩、いっぱいもらって\nると思ったんですけど……\nやっぱりチョコをあげました！,"쵸코 선배, 이미 잔뜩 받았을 거라고 생각하지만... 그래도 쵸코를 선물했어요!"
ねえ、プロデューサー……\nチョコレートとダンベル、\nどっちが喜ばれるかしら？,"있잖아, 프로듀서! 초콜릿이랑 덤벨 둘 중에 뭘 더 좋아할거 같아?"
ペンを……贈りたく……\n智代子さんの……\nお誕生日でございます……,펜을...선물해 드렸습니다...치요코 양의 생일입니다...
気持ちだけで十分だって言って\nたけど、限定のチョコケーキ\n渡したらすげー喜んでたよ,"마음만으로도 충분하다고 했지만, 한정판 초코 케이크 선물하니 엄청 좋아하더라"
私は、命令に従うだけ……,"나는, 명령에 따를 뿐......"
あたしだけに、ついてきて\nよそ見なんて、させないから,나만 따라와\n 한눈팔게 하지 않을 거니까
この光が向かう先──\nあたしと一緒に、確かめて,"이 빛이 향하는 곳\n나와 함께, 확인해줘"
オーダーをどうぞ、ご主人様,"명령을 내려주십시오, 주인님"
──跪かんね\n玉座の前に！,꿇어 앉그라\n옥좌 앞에!
ここから\n世界ば見下して──,여그서부터\n세상을 내려다보고...
プロデューサー、嬉しか……？,"프로듀서, 기뻐야...?"
プロデューサーが嬉しか時は、\nうちも嬉しかよ,프로듀서가 기쁠 때믄\n나도 기쁘구마잉
宇宙まで届けーっ！,우주까지 닿아라!
アタシの銃口は誰も逃がさない\n一度狙いを定めたら……覚悟するんだな,나의 총구는 아무도 놓치지 않아\n일단 목표로 정해지면……각오하라구
『ご主人様っ！　一緒にお茶にいたしませんか？』\nえへへっ、どうですか！？,"『주인님! 같이 차 한 잔 하실래요?』\n에헷, 어때요!?"
ナンバーワンッ,넘버 원
プロデューサーさんっ！\n『紅茶いれ』一緒に特訓してください！,프로듀서님!\n『홍차 끓이기』 함께 특훈해 주세요!
ね～プロデューサー！\nね～ね～、プロデューサー、ね～\n──……呼んだだけ～！,"저기~ 프로듀서!\n저기~ 저기~, 프로듀서, 저기~\n……불러본 것 뿐이야~!"
ああ、プロデューサー\n……今日は、そうだね……\n少しだけ、私の話を聞いてほしいな,"아, 프로듀서\n……오늘은, 그렇지……\n조금만, 내 이야기를 들어줬으면 하는데"
えっと……一緒にご飯、とか\nどうですか……？,음……같이 밥이라든가\n어때요……?
ずっとあそこにいたかったんです……その、プロデューサーが一緒だったので,"계속 그곳에 있고 싶었어요……그, 프로듀서가 함께 했기 때문에"
太陽の光で輝き、星と共に夜を照らす──,"태양 빛으로 빛나며, 별과 함께 밤을 비추는"
届いていますか、\nこの『歌声』──,"닿고 있나요, \n이 『노랫소리』"
最高のステージ、\n行ってくるっす！,"최고의 스테이지,\n갔다 오겠슴다!"
まだまだ！　どこまでも\n進んでいくっすよ！,아직이야! 어디까지라도\n나아가겠슴다!
わたしたちなら、\nなんでもできそうっすね！,"저희들이라면,\n뭐든지 할 수 있을 것 같네요!"
さあ、今日は特別な日だ\n結華はこんな名目でもないと、\nお姫様にさせてくれないからね,"자, 오늘은 특별한 날이네\n이런 날이 아니면 유이카는,\n공주 대접하기 힘드니 말이야"
三峰の誕生日プレゼント、何か用意しましたかぁ？\n私は──ふふーないしょですー,미츠미네 생일선물 뭐로 준비하셨어요?\n저는후후비밀이에요-
結華ちゃんが……\n幸せでありますように……\n誕生日の……お祈りです……,유이카쨩이……\n행복하기를……\n생일……기도하고 있어요……
結華はおしゃれやけん、\nプレゼント考えるとも\nばり難しか～～～！,"유이카는 패션을 신경쓰니께,\n선물을 준비하는 것도\n어렵네~!"
うち、もっとも～っと\nいろんな景色を見たいばい！,나가 더욱 더~욱 여러가지 경치가 보고싶구마잉!
うちの歌と踊りを長崎に\n届ける日まで、止まれんけん！,"내 노래랑 춤을 나가사키에 전하는 날까지,\n멈출 수 없어야!"
うちらは無敵のコンビたい！\nね！　プロデューサー！,우리들은 무적의 콤비여라! \n그치! 프로듀서!
……ったく、仕方ねーな\n味見、一口だけだぞ,"……나참, 어쩔 수 없나\n맛보기, 한입 만이야"
……つまみ食いは、だめだかんな,"……몰래 집어먹는 건, 안 되니까"
この世には二種類の人間がいる\nアタシたちを知っているやつと、まだ知らないやつだ！,이 세상엔 두 종류의 인간이 있지\n우리들을 아는 놈들과 아직 모르는 놈들이야!
あさひちゃんって\n何あげたら喜ぶかな～\n全然予想付かないんだよね～,아사히쨩은\n뭘 주면 기뻐할까~\n전혀 예상되지 않네요~
本人が忘れてるのにふゆだけあいつの誕生日覚えてるとか、なんか腹立つんだけど,"본인이 까먹고 있는데 후유만 저 녀석의 생일 기억한다든가, 왠지 화가 나는데"
お魚さんたち……\nタンスから出たい……って……,물고기씨들……\n옷장에서 나가고 싶다고……해요……
よい年が……\nやってきますように……,좋은 새해가……\n찾아오기를……
手繰りなさい……\n手繰られないように……,끌어당기세요……\n끌어당겨지지 않도록……
踊り続けるの……\n鉄の花が朽ち……鉄の心が錆びるまで……,계속 춤출 거야……\n철의 꽃이 썩고……철의 마음이 녹슬 때까지……
プロデューサーがいたから、わたしはここまで来れたんだよ？,"프로듀서가 있었기 때문에, 나는 여기까지 올 수 있었던 거라구?"
わたし、もっと大きな会場でもやれちゃうと思うよ！,"나, 좀 더 큰 회장에서도 잘 할 수 있을 것 같아!"
今のわたしたちなら、きっとどこまでも行けちゃうね！,"지금의 우리라면, 분명 어디까지라도 갈 수 있을거야!"
ノート、昨日でいっぱいになったんだ\nとっても幸せな一冊ができたと思う……\nありがと、プロデューサーさん！,"노트, 어제로 가득 찼구나\n매우 행복한 1권이 생겼다고 생각해……\n고마워요, 프로듀서님!"
その皮の下に眠るは牙剥く獣か\n或いは無垢な少女か,그 가죽 밑에 잠자는 것은 이빨을 들어내는 짐승인가\n혹은 무구한 소녀인가
ぺ、ペンキ！　付いてない？\n大丈夫！？　よかった……\nほんっとごめん……っ！,"페, 페인트! 묻지 않았어?\n괜찮아!? 다행이야……\n정말 미안……!"
前に見た空の色を作りたかったんだ！\n……プロデューサーにも見せられたかな？,전에 봤던 하늘의 색을 만들고 싶었거든!\n……프로듀서에게도 보여졌을려나?
太陽も恒星だから、きっと歌ってるんだー！\nどんな歌なんだろうね？,"태양도 항성이니까, 분명 노래하고 있을거야-!\n어떤 노래일까?"
星と月と太陽は、ずっと一緒だよ！,"별과 달과 태양은, 쭉 함께야!"
ミライを進んでいく\nひとつのウタを道標にして──,미래를 나아가는\n하나의 노래를 이정표로 하여
…………\n……不愉快なんですケド,…………\n……불쾌한데요
…………\nアナタ、自分が何をしたか\nわかっているの？,"…………\n당신, 자신이 무슨 짓을 한 건지\n알고 있어?"
……ごめん\nプロデューサーさんでも\nこれは……ダメ……,......미안\n프로듀서님이라도\n이건...... 안 돼......
……ねぇ、なんのつもり？,"......저기, 무슨 생각이야?"
……ふふー……プロデューサー\nイタズラにはイタズラで返しますねー,……후후ー……프로듀서\n장난에는 장난으로 되돌려 드릴게요ー
……ふゆ、自分の\nプロデューサーが逮捕なんて話\n聞きたくないんだけど,"……후유, 내\n프로듀서가 체포당했다 같은 얘기\n듣고 싶지 않은데"
……まずは土下座\nそれで、許すかどうか\n検討だけはしてあげる,"……일단은 도게자\n그걸로, 용서할지 말지\n검토는 해줄게"
……まったく～\n三峰は猫とかじゃ\nないんですけどねー？,......정말이지~\n미츠미네는 고양이같은 게\n아닌데 말야ー?
……もしかしてー\nプロデューサーも頭撫でて欲しいんですかぁ？　ふふー,……혹시ー\n프로듀서도 머리를 쓰다듬어 주길 바라는 건가요오? 후후ー
……や……\nやめて、くださいぃ……！,"...그...\n그만, 해주세요...!"
……プロデューサーの手って、\n大きいですよね\nあ、いえ……なんでもないです,"……프로듀서의 손,\n커다랗네요\n아, 아뇨…… 아무것도 아니에요"
……他の子たちにも、\nこんなことをしては\nいないだろうね？,"……다른 아이들에게도, \n이런 짓 하진\n않았지?"
……体に触れる前には、\n一言言って欲しいかな\n女性に対するマナーだよ,"……몸에 접촉하기 전에는,\n한 마디 해줬으면 하는걸\n여성에 대한 매너야"
……何するんですかぁ\nプロデューサーのせいで服が汚れたかもしれませんー,……뭐하는 건가요오\n프로듀서 때문에 옷이 더러워졌을지도 몰라요ー
……？\nプロデューサーさん、\nどうして頭をなでるんですか？,"……?\n프로듀서님, \n왜 머리를 쓰다듬는 건가요?"
──いたた……\n筋肉痛みたいです\nふふ、見抜かれちゃいますね,"아야야……\n근육통인가 봐요\n후후, 궤뚫어보셨네요"
──優しいです、それは……\nずるいです……,"상냥하시네요, 그건...\n치사해요..."
あ……\nはい……参りましょう……,아……\n네……가도록 하죠……
あっ……ええと……\nどういう……,앗... 저기...\n무슨...
あの……\nふふ……嬉しいです……,저기...\n후후......기뻐요...
あの……\n足元に……\nお気をつけくださいませ……,그……\n발밑을……\n조심해주십시오……
あはは！\nプロデューサーさん\n撫でるの上手いっすね！,아하하!\n프로듀서님\n쓰다듬는 거 능숙함다!
いえ……\n熱は……ございません……,아니요……\n열은……없사옵니다……
うち、わざとなら\nフツーにキレるけど？,"나, 일부러 한 거면\n평범하게 화낼 건데?"
うひゃっ……！\n……もー、びっくりしたよー！,"우햣……!\n……진짜ー, 깜짝놀랐잖아ー!"
うふふっ\nもう、仕方がないわね,"우후훗\n정말, 어쩔수 없네"
え……っ\nあ、あの……ど、どうしてこんなこと…………ひどいです……,"엣……\n저, 저기……어, 어째서 이런 짓을………… 너무해요……"
えっ……と、何か嫌なことでもありました……か？　いえ、だからって許せな……ええと……,"저……기, 뭔가 힘든 일이라도 있으셨……나요? 아뇨, 그렇다고 용서는…… 저기……"
えっ、何どうしたの、怖い！\n急に触らないでよプロデューサー！,"엣, 뭐야 왜 그래, 무서워!\n갑자기 만지지 말아줘 프로듀서!"
えっと……\nやめて……くれる……？,저기...\n그만해... 줄래...?
えっ！　もしかして\n髪ハネちゃってる！？,엣! 설마\n머리 뻗쳐 있었어!?
えへへっ……\nプロデューサーさんの手\nあったかくて……安心……,에헤헷...\n프로듀서님의 손\n따뜻해서... 안심돼...
えへへっ、ざーんねん☆　\n気づいてるから\n驚かないもーん！,"에헤헷, 유감\n눈치채고 있었으니까\n안 놀랐지~!"
えへへっ\nそのままなでてくださいっ,에헤헷\n그대로 쓰다듬어 주세요
おい！\nふざけんのも\nいい加減にしろよ！,어이!\n장난치는 것도\n적당히 하라고!
これ……\nなーちゃん、言ってた……\n変なこと……？,"이거... \n나쨩이, 말했던...\n이상한 짓...?"
ご、ごめんなさい……！\n時間でしたか……？,"죄, 죄송해요...\n시간이 되었나요......?"
ご、ごめんなさいっ、\nやめてくださいっ……！\n……すみません……,"죄, 죄송해요,\n그만둬 주세요……!\n……죄송해요……"
す、すみません……っ\nもしかして、髪の毛くしゃくしゃでしたでしょうか……？,"죄, 죄송해요......\n혹시, 머리카락 흐트러져 있었나요...?"
す、すみません……\n──怒られたんじゃ……\nないですか……？,"죄, 죄송해요......\n화내신 건.......\n아니시죠......?"
その……優しいお手に……\n励まされて……参りました……,그……상냥한 손에……\n격려 받아서……나아갔습니다……
だーから～、弱くないし～\n構ってほしいなら言いなよ～\n寂しがり屋さん♪,그ー러니까~ 약하지 않은데~\n어울리고 싶으면 말하라구~\n외로움쟁이♪
ちゃんと謝るなら\n許してあげなくもないわ,제대로 사과한다면\n용서해줄 수도 있어
ちょっとバカ\nちゃんとセットしてるんだから\nやめなさい,잠깐 바보야!\n제대로 세팅해놓은 거니까\n그만둬
ちょっと！\n何のつもりかしら\n信じられないわ,잠깐!\n무슨 속셈인걸까?\n믿기지 않네
っ、ふふーん、来ると思ってたん\nです！　だから耐えました！　\nお返しいきますよ、覚悟～っ,"읏, 흐흥ー, 올거라고 생각\n했어요! 그래서 버텼어요! \n되돌려 드릴 거에요, 각오하세요~"
ったく\n次は無いからな！,정말이지\n다음은 없어!
っと……\n……いや、頭に触れられるのは\nあまり慣れてなくてね,"이런……\n……아니, 머리를 쓰다듬 받는 건\n별로 익숙하지 않아서 말야"
どういう意味っすか、これ？\n教えてほしいっす\nそしたら何も言わないっす,"어떤 의미임까, 이거?\n알려줬음함다\n그러면 아무 말도 안하겠슴다"
どうしたのー？\nスキンシップのつもりー？\nんー？,무슨 일일까ー?\n스킨십할 생각ー?\n흐응ー?
な、なんしよっと！？\nそういうんはよくなか！,"무, 무슨 짓이당가!?\n그런 건 좋지 않어야!"
な、何よ……\n言いたいことがあるなら\n言いなさいよ,"뭐, 뭐야……\n하고 싶은 말이 있으면\n말하라구"
なっ……なんですか？\nゴミでも付いていましたか？,뭐... 뭔가요?\n먼지라도 붙어 있었나요?
なっ……\nいえ、嫌なんじゃなくて……\n……恥ずかしいです,"무슨...\n아뇨, 싫다는게 아니고...\n...부끄러워요"
なでなで……？\nもう、ふふ……\n子どもじゃないですから,"쓰담쓰담...? \n정말, 후후...\n어린애가 아니니까요"
なになにー？\nハグする？,뭐야 뭐야ー? \n허그할래?
にへへ……\n甜花、頑張った……\nだから……もっと……,"니헤헤...\n텐카, 노력했으니까...\n그러니까... 좀더..."
は、はあ！？ \n急に何してんだよ！,"하, 하아!? \n갑자기 뭐하는거야!"
はい……\n凛世の……心は……\nここに……,네……\n린제의……마음은……\n여기에……
ひっ……！\nあ……いえ、その……くすぐったいので、やめてください,"힉…! \n아… 아뇨, 그… 간지러우니까, 하지마세요"
ひゃあっ──……す、すみません……くすぐったくて、大きい声が出ちゃいました……,"햐앗... 죄, 죄송해요... 간지러워서, 큰 소리를 내버렸어요..."
ひゃあっ！？　……も、もう！\nプロデューサーさん……！\nからかうのはやめてください！,"히얏!? ……저, 정말!\n프로듀서님……!\n장난 치는건 그만해 주세요!"
ひゃっ！\nちょっと～、しわになるから\nやめてくれる～？,햣!\n저기~ 주름지니까\n그만해줄래~?
ひゃわ……っ！\n……あんた、今の聞いた？\n聞いたんなら忘れなさい今すぐ,"히야앗...!\n...너, 지금 들었어?\n들었다면 잊어버려 지금 당장!"
ふえっ！？\nも～、驚かせんでよ\nプロデューサー！,"후엣!?\n정말~, 놀래키지 말아줘\n프로듀서!"
ふえ！？\nな、なんね！？,"후에!?\n뭐, 뭐시여!?"
ふっ、あはは\nやめろってば！\nくすぐったいだろ！,"훗, 아하하\n그만하라니까!\n간지럽잖아!"
ふふ……はい……,후후...... 네......
ふふ……\n手……あったかいです……,후후...\n손...따뜻하네요....
ふふ、サラサラでしょ\nこれでも結構\n気を遣ってるんだから,"후후, 찰랑찰랑하지\n이래 봬도 꽤\n신경쓰고 있으니까"
ほわ……っ\nあ、あの……えっと……？\nえっと、なんでもないです……,"호와......\n저, 저기...... 그......?\n그게, 아무것도 아니에요......"
ほわっ\nぷ、プロデューサーさん……っ\nあのっ……や、やめてください,"호왓\n프, 프로듀서님......\n저기...... 그, 그만해주세요"
まさか！\nまた色落ちしてきてる\nカンジ！？,설마!\n또 색이 빠지고 있는\n느낌!?
もう、わざとでしょー！\nそういうの、あんまりやると\n嫌われちゃうんだよー？,"정말, 일부러지ー!\n그런 거, 너무 하면\n미움받는다구ー?"
もっともっと\n鍛えていかないとね！,"더, 조금 더\n단련해야겠어!"
やっぱりプロデューサーも\n気になる？\n…………大きさ……,역시 프로듀서도\n신경쓰여?\n............크기......
やめてちょうだい\n髪が乱れるわ,그만해줘\n머리가 흐트러져
やめて！\n……──て、あ、ごめん……\nあはは、慣れてなくてさ……,"하지마!\n......아, 그게, 미안......\n아하하, 익숙하지 않아서......"
わ……\nびっくりしました……！,와……\n깜짝 놀랐어요……!
わ、すみません……！\n私、ぼんやりしてました……？,"앗, 죄송해요...! \n저, 멍하니 있었나요...?"
わぁっ、どうしました！？\n何か褒めてもらえるようなことしましたっけ……！？,"와앗, 왜 그러세요!?\n뭔가 칭찬받을 만한 걸 했던가요……!?"
わぁっ！\nくすぐりあいっこですね！\n負けませんっ！,와앗!\n서로 간지럽히기인 거네요!\n지지 않을 거에요!
わたしも……\n聴かせてください……\nどきん……どきん……,저도...\n들려주세요...\n두근...두근...
わっ……！？\nえっと、何かご用ですかっ？,"왓……!?\n저기, 뭔가 볼일이 있으신가요?"
わっ！　ぶつかっちゃいました……\nごめんなさい……！,왓! 부딪혀 버렸어요……\n죄송해요……!
わっ\nご、ごめん～！\nぶつかった～！？,"왁\n미, 미안~!\n부딪혔어~!?"
ん……\nまあ、別に\n嫌では無いけど,"음……\n뭐, 딱히\n싫은 건 아니지만"
ん、んんー……\n寝癖……あった……？,"음, 으음... \n머리... 뻗쳤어...?"
んふふ～！\nうちの髪、ふわふわで\n気持ちよかやろ～？,"응후후~!\n내 머리카락, 푹신푹신해서\n기분 좋제~?"
んんっ！？\nあれっ、寝癖ついてる……！？,"으응!?\n어라, 머리 삐쳐있어……!?"
んん～！？\nなんか付いとったと？,으응~!?\n뭐가 붙어 있었다고?
ん？　なんすか？\nプロデューサーさんの\n気配くらいわかるっすよ？,응? 뭠까?\n프로듀서님의\n기척정도는 알고 있다구요?
アンタ……\n何がしたいんだよ……,너……\n뭘 하고 싶은거야……
スタイルには気を\n遣ってるつもりだよ\nアナタから見て、どうだろうか,"스타일에는 신경을\n쓸 생각이야\n당신이 봤을 때, 어떻게 보일까"
ダメです、プロデューサーさん\nそういうの、\n勘違いされちゃいますよ？,"안돼요, 프로듀서님\n이런 거, \n착각해버린다구요?"
プロデューサーさん……？\n服、変だった……？,"프로듀서님...? \n옷, 이상했어...?"
プロデューサーさんって\n意味ないことするの\n好きなんすか？　ヒマなんすね,프로듀서님은\n의미없는 일을 하는 거\n좋아함까? 한가하네요
プロデューサーさんの手、とっても\nあったかくて……撫でてもらうと眠く\nなっちゃいそうです,"프로듀서님의 손, 굉장히\n따뜻해서... 쓰다듬어주시면\n잠이 올 것 같아요"
プロデューサー\nそれはさすがに怒るよ？,프로듀서\n그건 아무리 나라도 화낸다?
今日の甜花は、完璧……！\n髪、跳ねてないし……\n服も、裏表逆じゃない……！,"오늘의 텐카는, 완벽...! \n머리, 뻗치지 않았고... \n옷도, 앞뒤 거꾸로 아니야...!"
全く……\n私だけにしてくれないかな、\nこういうことは,"정말이지……\n나한테만 하지 않을래,\n이런 거"
別にくすぐりとか\n弱くないけど？\n何がしたいん？,그다지 간지럼 같은 데에\n약하지 않은데?\n뭐가 하고싶어?
勝手に触らないでくださいー\nいきなりなんですかぁ,멋대로 만지지 말아주세요ー\n갑자기 뭔가요
心臓の音は、なんだか安心しますっ！\nプロデューサーさんの心臓にも……\nタッチですっ！,"심장 소리는, 왠지 안심돼요!\n프로듀서님의 심장도……\n터치에요!"
意味もなくわしゃわしゃ\nしないでほしいっす,의미없이 쓰담쓰담\n하지 말아주셨음 함다
撫でるの？　どうぞだよー！\nでも、髪結び直す時は、プロデューサーにやってほしいなっ！,"쓰다듬을 거야? 환영이야ー! 그래도, 머리 정돈할 때는, 프로듀서가 해줬으면 좋겠는걸!"
撫でんのはいいけどさ～\nセットが崩れないくらいで\nヨロシクね～♪,쓰다듬는 건 좋은데말야~\n세팅 망가지지 않을 정도로\n부탁해~♪
最低な変態さんにはぁ、仕返しが必要ですよねー\nふふー遠慮せずにいきますよー,"최악의 변태씨에겐, 보복이 필요하겠죠ー\n후후ー사양없이 갈게요ー"
気付いてても\n避けないっす！,알고 있었지만\n안피했슴다!
理由があるなら伺います\n正当な理由があれば、ですが,"이유가 있다면 들어드릴게요\n정당한 이유가 있다면, 말이죠"
私は小さな子どもでは\nないのだけれど……\n……いや……悪くはないよ,난 어린 아이는\n아닌데……\n……아니……나쁘진 않아
肘置きにちょうどいい高さだなって……思ってませんか……？,팔꿈치를 두기 딱 좋은 높이라고……생각하고 계시지 않았나요……?
許してあげたいけどさぁ\n……これはちょっと無理～,눈 감아주고 싶지만 말야\n... 이건 좀 무리~
！？\nび、びっくりしました……！\n……ダメですよ、こういうの,"!?\n까, 깜짝 놀랐어요……!\n……안된다구요, 이런 거"
えっと……その……\nだ、だーれだ……っ,"엣…… 그게……\n누, 누-구게……엣"
だーれだっ？,누-구게?
アナタの後ろにいるのは……\nフフ、『だーれだ』,"당신의 뒤에 있는건……\n후후, 『누-구게』"
──だぁれだ\n……ハズレのときは覚悟してくださいねー,누우구게 \n……틀렸을 때는 각오해주세요―
だーれだ……,누-구게……
えっへへ～！\nだーれだっ☆,엣헤헤~! \n누-구겟☆
わ、私は、\n誰でしょうか……！,"나, 나는, \n누구일까요……!"
──さて！\n私は誰でしょうか！,자아!\n저는 누구일까요!
プロデューサーさん\nだーれ────,프로듀서님\n누-구
だ、だーれだ……！\nこんなんすぐわかんだろ……,"누, 누-구게……!\n이런 건 바로 알겠지……"
わっ！！！\nだーれだっ！,왓!!!\n누-구겟!
だーれだっ！！,누-구겟!!
プロデューサーさんっ\nだーれだっ,프로듀서님\n누-구게
え、えへへ……っ\nだーれだ……っ！ ,"에, 에헤헷……\n누-구게……엣!"
プロデューサー！\n──だーれだっ！,프로듀서!\n누-구게!
お尋ね申します……\nだーれだ……,여쭙겠습니다……\n누-구게……
うふふ、だーれだ！\n当ててごらんなさい！,"우후후, 누-구게!\n맞춰보렴!"
んふふ～、だ～～～れだ！？\nちゃ～んと当てんといけんよ～～～！,"응후후, 누-구게!\n자~알 맞춰보당가!"
だーれだっ♪,누-구겟♪
チェック……ワン……ツー\n感度……良好……,체크……원……투\n감도……양호……
──ねえ、プロデューサー\n……まみみを、みつ…………ぅ\n……その、ありがとう……ございます,"저기, 프로듀서\n…… 마미미를, 찾아내…………\n……그, 감사……합니다"
あれは……\n何色だったでしょう……,저것은……\n무슨 색이었을까요……
ばかな……\n凛世……,어리석은……\n린제……
アンタには、ちゃんと元気で\nいてもらわねーと、\nアタシが困るから……,"네가 제대로 건강하게\n잘 있어주지 않으면, \n내가 곤란하니까……"
蝶よ……花々に飽いたら……\n凛世に……とまれ……,나비야……꽃들에 싫증나면……\n린제에게……멈추어라……
……喧嘩って、自分とか誰かを\n護るためにやるもんだろ\n自分の正義を、貫くために──,"……싸움이란, 자신이나 누군가를\n지키기 위해서 하는 거잖아\n자신의 정의를, 관철하기 위해서"
──ん。これ、アンタに差し入れ。チョコがパウンドケーキ\n作るって言うから、それ手伝ったついでっつーか……\nや、えーと…………とにかく受け取れ！！,"응. 이거, 네 간식. 쵸코가 파운드 케이크\n만든다고 해서, 그거 도와주는 김에……\n어, 그게…………아무튼 받으라고!!"
真乃、灯織……大好きだよ！\n一緒に輝きを届けよう！,"마노, 히오리…… 정말 좋아해! \n함께 빛을 전하자!"
